id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
35455,,-12.837112,-71.355621,COER MDD SALVACIÓN,outside,4.5,97.0,36.111111111111114,44.0,947.24,,,,,,,,,,,,,2020-11-15 18:33:58,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,9.64,6.88,5.57,4.66,14.02,7.52
35193,,33.747167,-116.967622,COH_CITYHALL,outside,0.29,93.0,33.88888888888889,9.0,963.2,,,,,,,,,,,,,2020-11-15 18:33:33,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,1.35,2.25,3.58,14.75,13.83,10.79
31399,,34.085285,-117.960899,COI5467,outside,15.34,72.0,22.22222222222222,23.0,1009.86,,,,,,,,,,,,,2020-11-15 18:34:14,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,19.67,20.31,24.86,39.3,36.49,36.29
44687,,44.781666,17.089411,Cokori Banja Luka,outside,65.51,52.0,11.11111111111111,71.0,978.98,,,,,,,,,,,,,2020-11-15 18:32:34,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,68.22,69.68,69.6,60.88,53.9,33.19
29627,,38.161612,-120.057009,Cold Springs,outside,0.05,61.0,16.11111111111111,36.0,835.46,,,,,,,,,,,,,2020-11-15 18:33:55,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.04,1.05,2.71,4.44,5.3,15.3
24309,,50.236642,-119.134211,Coldstream ,outside,0.0,48.0,8.88888888888889,51.0,939.09,,,,,,,,,,,,,2020-11-15 18:33:18,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.17,0.77,1.56,7.77,10.72,15.23
37233,,50.233095,-119.259568,Coldstream,outside,0.15,47.0,8.333333333333334,51.0,954.41,,,,,,,,,,,,,2020-11-15 18:32:34,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.18,0.56,1.72,9.33,13.05,18.08
33049,,37.764131,-122.448009,Cole Valley,outside,31.35,62.0,16.666666666666668,60.0,1014.92,,,,,,,,,,,,,2020-11-15 18:32:29,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,31.46,28.88,25.18,14.09,9.84,12.29
27231,,37.760916,-122.452159,Cole Valley,outside,22.53,62.0,16.666666666666668,59.0,1012.74,,,,,,,,,,,,,2020-11-15 18:34:08,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,22.34,21.81,19.55,9.45,5.97,8.36
39323,,19.262215,-99.626948,Colegio Argos,outside,11.82,79.0,26.11111111111111,16.0,746.36,,,,,,,,,,,,,2020-11-15 18:33:47,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,13.25,20.29,29.66,39.37,36.36,30.08
39271,,19.51337,-99.131984,Colegio del Pilar,outside,15.96,,,,,,,,,,,,,,,,,2020-11-15 18:33:38,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,17.7,23.95,28.44,31.96,32.72,27.72
39313,,19.633701,-99.327938,Colegio Marie Curie,outside,16.23,79.0,26.11111111111111,15.0,767.79,,,,,,,,,,,,,2020-11-15 17:52:42,PMS5003+PMS5003+BME280,,,False,False,False,41,,,,,,,False,17.86,22.11,23.97,27.37,28.22,27.36
34905,,25.564653,-100.242572,Colegio Tonallí,outside,22.46,81.0,27.222222222222225,42.0,950.37,,,,,,,,,,,,,2020-11-15 18:33:39,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,25.38,26.97,28.69,32.81,33.5,22.44
73791,,36.467465,-119.762702,Coleman Ranch,outside,33.0,66.0,18.88888888888889,50.0,1019.4,,,,,,,,,,,,,2020-11-15 18:33:13,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,33.54,32.91,31.97,29.35,30.62,30.29
15901,,34.149782,-118.383025,Colfax Meadows,outside,2.64,80.0,26.666666666666668,20.0,1000.53,,,,,,,,,,,,,2020-11-15 18:33:21,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,2.53,3.17,4.27,13.91,16.56,17.81
